"run","mode","run_label","stack","scenario","total_requests","successful_requests","error_rate","successful_requests_per_second","p50_ms","p95_ms","p99_ms","successful_p95_ms","successful_p99_ms","sql_query_count","avg_sql_queries_per_successful_request","app_rss_mb","db_connections_used","notes"
"1","editorial","baseline-node24-java21","prisma","read-by-id","300","300","0","476.81","32.87","45.24","60.24","45.24","60.24","1200","4","128.4","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","baseline-node24-java21","prisma","paginated-list","300","300","0","461.09","31.32","54.34","56.41","54.34","56.41","300","1","137.3","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","baseline-node24-java21","prisma","relation-summary-naive","300","300","0","3.09","4963.6","6813.72","7568.1","6813.72","7568.1","60391","201.3","289.2","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","baseline-node24-java21","prisma","relation-summary-optimized","300","300","0","22.51","686.5","1043.58","1275.68","1043.58","1275.68","613","2.04","288.2","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","baseline-node24-java21","prisma","n-plus-one-trap-naive","300","300","0","16.53","930.83","1228.79","1351.55","1228.79","1351.55","30913","103.04","297.7","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","baseline-node24-java21","prisma","n-plus-one-trap-optimized","300","300","0","98.01","135.49","399.73","637.02","399.73","637.02","1200","4","303.8","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","baseline-node24-java21","prisma","transaction-write","300","300","0","73.63","151.29","547.8","678.77","547.8","678.77","2113","7.04","304.7","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","baseline-node24-java21","prisma","report-aggregation","300","300","0","90.86","163.72","256.26","367.92","256.26","367.92","300","1","309.7","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","baseline-node24-java21","jdbc","read-by-id","300","300","0","303.02","38.55","127.44","209.37","127.44","209.37","300","1","86.8","22","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","baseline-node24-java21","jdbc","paginated-list","300","300","0","267.55","39.34","156.8","264.79","156.8","264.79","300","1","96.5","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
