"run","mode","run_label","stack","scenario","level","total_requests","successful_requests","error_rate","successful_requests_per_second","p50_ms","p95_ms","p99_ms","successful_p95_ms","successful_p99_ms","sql_query_count","avg_sql_queries_per_successful_request","app_rss_mb","db_connections_used","notes"
"1","editorial","best-effort-node24-java21","prisma","read-by-id","idiomatic","300","300","0","365.13","38.74","72.07","94.79","72.07","94.79","1200","4","127","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","best-effort-node24-java21","prisma","read-by-id-best-effort","best-effort","300","300","0","670.32","23.39","35.7","39.32","35.7","39.32","300","1","129.3","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","best-effort-node24-java21","prisma","paginated-list","idiomatic","300","300","0","684.36","22.27","32.19","33.85","32.19","33.85","300","1","132.6","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","best-effort-node24-java21","prisma","relation-summary-naive","naive","300","300","0","3.05","5155.84","6596.91","7362.28","6596.91","7362.28","60378","201.26","276","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","best-effort-node24-java21","prisma","relation-summary-best-effort","best-effort","300","300","0","29.88","507.47","872.49","1045.99","872.49","1045.99","613","2.04","275.1","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","best-effort-node24-java21","prisma","n-plus-one-trap-naive","naive","300","300","0","23.62","658.32","887.37","1021.54","887.37","1021.54","30913","103.04","330.6","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","best-effort-node24-java21","prisma","n-plus-one-trap-idiomatic","idiomatic","300","300","0","139.47","103.04","179.5","204.81","179.5","204.81","900","3","316.5","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","best-effort-node24-java21","prisma","n-plus-one-trap-best-effort","best-effort","300","300","0","616.31","24.7","35.58","40.75","35.58","40.75","300","1","316.5","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","best-effort-node24-java21","prisma","transaction-write","idiomatic","300","300","0","293.84","53.97","72.17","77.16","72.17","77.16","2100","7","316.5","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","best-effort-node24-java21","prisma","report-aggregation-best-effort","best-effort","300","300","0","130.33","113.79","190.76","215.12","190.76","215.12","300","1","316.6","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","best-effort-node24-java21","jdbc","read-by-id","idiomatic","300","300","0","365.21","39","80.01","112.23","80.01","112.23","300","1","91.3","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","best-effort-node24-java21","jdbc","read-by-id-best-effort","best-effort","300","300","0","501.87","31.61","51.75","66.77","51.75","66.77","300","1","84.4","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","best-effort-node24-java21","jdbc","paginated-list","idiomatic","300","300","0","410.13","36.78","63.97","71.89","63.97","71.89","300","1","101.5","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","best-effort-node24-java21","jdbc","relation-summary-naive","naive","300","300","0","3.27","4604.16","6955.14","8067.83","6955.14","8067.83","60300","201","104.1","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","best-effort-node24-java21","jdbc","relation-summary-best-effort","best-effort","300","300","0","29.99","469.54","946.9","1346.08","946.9","1346.08","600","2","87.3","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","best-effort-node24-java21","jdbc","n-plus-one-trap-naive","naive","300","300","0","14.04","1076.41","1631.67","2024.41","1631.67","2024.41","90300","301","98.3","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","best-effort-node24-java21","jdbc","n-plus-one-trap-idiomatic","idiomatic","300","300","0","372.82","38.87","74.86","88.56","74.86","88.56","600","2","84.2","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
