"run","mode","run_label","stack","scenario","total_requests","successful_requests","error_rate","successful_requests_per_second","p50_ms","p95_ms","p99_ms","successful_p95_ms","successful_p99_ms","sql_query_count","avg_sql_queries_per_successful_request","app_rss_mb","db_connections_used","notes"
"1","smoke","java-22","prisma","read-by-id","20","20","0","492,36","6,77","11,91","12,93","11,91","12,93","80","4","125,5","4","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-22","prisma","paginated-list","20","20","0","893,03","4,3","4,96","4,99","4,96","4,99","20","1","126,1","4","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-22","prisma","relation-summary-naive","20","20","0","11,12","292,12","588,32","623,17","588,32","623,17","4020","201","161,3","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-22","prisma","relation-summary-optimized","20","20","0","116,18","31,47","59","60,51","59","60,51","40","2","164,8","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-22","prisma","n-plus-one-trap-naive","20","20","0","14,76","233,51","403,75","422,91","403,75","422,91","2060","103","195,5","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-22","prisma","n-plus-one-trap-optimized","20","20","0","41,07","85,13","124,64","128,41","124,64","128,41","80","4","197,1","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-22","prisma","transaction-write","20","20","0","46,77","55,86","196,7","206,6","196,7","206,6","140","7","197,5","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-22","prisma","report-aggregation","20","20","0","218,6","13,7","27,53","29,93","27,53","29,93","20","1","198,3","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-22","jdbc","read-by-id","20","20","0","339,21","8,83","17,14","19,62","17,14","19,62","20","1","72,9","17","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-22","jdbc","paginated-list","20","20","0","237,12","13,6","28,18","37,51","28,18","37,51","20","1","74","19","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-22","jdbc","relation-summary-naive","20","20","0","16,64","238,06","271,28","272,19","271,28","272,19","4020","201","74,1","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-22","jdbc","relation-summary-optimized","20","20","0","176,07","22,11","30,46","36,41","30,46","36,41","40","2","78,9","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-22","jdbc","n-plus-one-trap-naive","20","20","0","11,72","320,54","463,07","466,12","463,07","466,12","6020","301","83,2","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-22","jdbc","n-plus-one-trap-optimized","20","20","0","308,1","11,58","14,19","17,34","14,19","17,34","40","2","91,5","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-22","jdbc","transaction-write","20","20","0","101,54","36,58","48,72","52,66","48,72","52,66","100","5","92,3","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-22","jdbc","report-aggregation","20","20","0","182,68","16,45","38,14","42,1","38,14","42,1","20","1","84,7","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
