"run","mode","run_label","stack","scenario","total_requests","successful_requests","error_rate","successful_requests_per_second","p50_ms","p95_ms","p99_ms","successful_p95_ms","successful_p99_ms","sql_query_count","avg_sql_queries_per_successful_request","app_rss_mb","db_connections_used","notes"
"1","editorial","java-25","prisma","read-by-id","300","300","0","527,53","27,3","56,83","64,35","56,83","64,35","1200","4","128,2","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-25","prisma","paginated-list","300","300","0","595,52","24,93","43,03","54,3","43,03","54,3","300","1","137,4","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-25","prisma","relation-summary-naive","300","300","0","3,22","5145,07","6070,67","6514,8","6070,67","6514,8","60378","201,26","280,5","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-25","prisma","relation-summary-optimized","300","300","0","28,22","539,82","838,84","980,83","838,84","980,83","613","2,04","280,2","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-25","prisma","n-plus-one-trap-naive","300","300","0","20,63","769,86","995,56","1089,35","995,56","1089,35","30913","103,04","345,3","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-25","prisma","n-plus-one-trap-optimized","300","300","0","132,61","108,43","201,73","240,51","201,73","240,51","1200","4","319,3","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-25","prisma","transaction-write","300","300","0","207,67","73,54","105,38","112,4","105,38","112,4","2100","7","319,6","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-25","prisma","report-aggregation","300","300","0","115,18","134,7","206,45","254","206,45","254","313","1,04","319,8","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-25","jdbc","read-by-id","300","300","0","285,32","48,91","115,96","148,91","115,96","148,91","300","1","74,5","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-25","jdbc","paginated-list","300","300","0","285,35","50,73","102,71","119,69","102,71","119,69","300","1","86,5","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
