"run","mode","run_label","stack","scenario","total_requests","successful_requests","error_rate","successful_requests_per_second","p50_ms","p95_ms","p99_ms","successful_p95_ms","successful_p99_ms","sql_query_count","avg_sql_queries_per_successful_request","app_rss_mb","db_connections_used","notes"
"1","smoke","node-22.17.1","prisma","read-by-id","20","20","0","514,5","6,62","10,1","11,2","10,1","11,2","80","4","117,2","4","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-22.17.1","prisma","paginated-list","20","20","0","904,16","4,08","5,01","5,49","5,01","5,49","20","1","117,5","4","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-22.17.1","prisma","relation-summary-naive","20","20","0","16,09","235,36","275,71","318,35","275,71","318,35","4020","201","148,2","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-22.17.1","prisma","relation-summary-optimized","20","20","0","376,24","10,66","11,9","12,85","11,9","12,85","40","2","148,9","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-22.17.1","prisma","n-plus-one-trap-naive","20","20","0","33,33","107,31","153,88","193,24","153,88","193,24","2060","103","153,4","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-22.17.1","prisma","n-plus-one-trap-optimized","20","20","0","201,17","18,48","23,17","25,39","23,17","25,39","80","4","153,8","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-22.17.1","prisma","transaction-write","20","20","0","246,58","14,96","17,83","20,33","17,83","20,33","140","7","154,4","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-22.17.1","prisma","report-aggregation","20","20","0","395,46","8,81","11,64","17,81","11,64","17,81","20","1","154","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-22.17.1","jdbc","read-by-id","20","20","0","322,2","11,16","16,35","30,87","16,35","30,87","20","1","84,7","16","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-22.17.1","jdbc","paginated-list","20","20","0","229,03","14,35","27,62","32,37","27,62","32,37","20","1","89,8","18","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-22.17.1","jdbc","relation-summary-naive","20","20","0","17,53","232,09","249,67","254,24","249,67","254,24","4020","201","80,5","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-22.17.1","jdbc","relation-summary-optimized","20","20","0","190,33","18,64","25,32","30,51","25,32","30,51","40","2","85,2","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-22.17.1","jdbc","n-plus-one-trap-naive","20","20","0","11,17","339,24","435,73","441,24","435,73","441,24","6020","301","83,1","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-22.17.1","jdbc","n-plus-one-trap-optimized","20","20","0","242,74","12,32","30,99","32,28","30,99","32,28","40","2","87,5","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-22.17.1","jdbc","transaction-write","20","20","0","233,19","16,43","20,07","22,36","20,07","22,36","100","5","92,1","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-22.17.1","jdbc","report-aggregation","20","20","0","182,53","20,41","31,41","33,22","31,41","33,22","20","1","76","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
